500,5000,5000
86,75,312
91,17,330
76,96,288
9,3,79
33,67,64
87,88,263
3,43,285
88,64,316
47,94,55
20,13,282
29,18,111
85,79,439
57,57,349
73,99,251
23,71,46
60,69,481
19,98,292
28,32,48
85,98,219
40,86,368
49,83,77
93,97,202
74,79,119
32,91,315
14,43,226
29,35,352
69,64,49
85,53,310
37,63,324
98,87,240
95,51,6
68,32,24
53,77,148
78,39,233
82,91,43
28,64,476
17,91,221
31,21,68
67,25,238
16,74,9
48,82,25
58,91,217
72,12,89
97,11,168
2,83,437
88,27,465
45,61,181
54,64,337
62,33,122
18,34,55
76,54,370
6,47,2
37,26,2
19,53,263
36,77,100
39,26,39
28,47,56
83,85,59
12,89,234
40,73,99
70,90,490
48,89,425
39,51,358
87,8,259
92,44,327
91,23,351
92,38,201
62,53,13
83,52,119
93,52,207
29,73,212
92,75,345
34,38,427
20,34,286
22,63,53
90,56,155
78,17,400
99,13,365
50,11,178
20,5,21
56,2,353
31,40,496
72,15,470
38,22,272
68,79,194
78,67,301
64,13,87
77,22,430
38,97,247
21,97,440
11,68,14
4,61,297
5,71,362
37,7,68
63,46,170
12,69,447
79,41,459
41,78,338
97,29,332
78,8,240
60,64,443
73,7,318
47,96,378
91,89,52
25,26,427
10,78,244
73,32,74
52,67,5
82,13,41
25,81,121
42,13,41
22,36,99
69,59,486
71,18,35
81,8,6
56,10,82
61,47,69
98,61,349
34,10,73
16,23,283
24,94,452
51,39,29
61,52,148
67,70,279
25,52,123
24,78,272
2,73,259
79,24,219
16,88,420
23,91,413
94,62,325
46,84,420
97,21,38
91,74,281
82,49,139
36,8,410
79,10,354
16,52,300
11,25,388
90,65,69
92,20,183
11,20,153
65,90,67
5,80,218
19,5,477
15,19,18
44,80,364
49,13,220
93,41,162
96,8,306
34,89,232
92,15,398
60,65,345
80,13,160
68,17,447
83,24,4
9,13,100
27,3,92
35,18,285
48,55,354
72,24,141
96,24,435
89,69,400
75,27,173
12,39,193
29,81,92
49,88,47
20,27,143
67,83,420
24,76,82
11,63,443
64,54,218
86,83,355
22,72,457
22,68,147
43,83,25
88,81,465
2,23,330
76,29,240
87,98,331
25,11,172
93,73,134
39,55,359
36,24,172
35,16,481
76,45,278
79,47,270
53,8,346
81,91,155
84,85,94
61,87,200
69,16,313
60,74,480
65,42,318
93,74,478
22,6,476
80,67,88
11,47,87
19,91,129
18,99,228
54,95,291
14,19,105
49,39,92
55,56,356
15,58,444
16,10,178
48,9,434
89,43,418
24,65,332
71,4,295
58,70,90
43,66,348
46,76,312
34,62,283
11,42,199
8,81,145
59,80,455
15,33,76
56,69,235
89,90,262
90,94,424
61,10,8
51,60,287
92,98,136
56,80,145
97,44,188
94,23,108
89,47,202
19,27,180
67,47,390
65,61,48
48,25,269
10,46,5
27,69,264
17,13,312
9,14,150
5,23,30
33,42,486
47,20,126
76,50,394
2,71,448
81,90,383
33,85,374
62,85,32
50,48,282
57,39,490
31,66,203
83,82,434
43,99,160
89,95,59
22,58,176
63,40,240
68,82,443
42,51,250
97,52,161
47,31,311
86,59,374
41,7,288
34,59,446
50,40,135
56,57,195
43,48,110
71,81,52
66,69,134
81,31,278
13,45,112
